2,"JPNagara 6th Phase,JP NAGARA 6TH PHASE,OPPOSITE OF THE BIG MARKET",12.9064924294,77.57761254,"[77.5856277850601,12.9071376264641]"
2,"JP Nagara 15th Cross,JP NAGARA 2ND PHASE,BESIDE CELL CITY",12.9071376265,77.5856277851,"[77.5856779609,12.9111515544]"
2,"RVDental College,JP NAGARA 1ST PHASE,BESIDE R.V.COLLEGE",12.9111515544,77.5856779609,"[77.5856925454,12.9153368901]"
2,"Marenahalli,JP NAGARA 1ST PHASE,BESIDE 3M CAR CARE",12.9153368901,77.5856925454,"[77.5835442636,12.9174407478]"
2,"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE AIR WAAVE",12.9174407478,77.5835442636,"[77.5837743469,12.9237699229]"
2,"Telephone Exchange,JAYANAGARA 4TH BLOCK,BESIDE BSNL OFFICE",12.9237699229,77.5837743469,"[77.58420959115,12.9284826437007]"
2,"Jayanagara 4th Block,TTMC",12.9284826437,77.5842095912,"[77.5839063618,12.9317783285]"
2,"Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS",12.9317783285,77.5839063618,"[77.5839236286,12.9361068271]"
2,"Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE",12.9361068271,77.5839236286,"[77.5799340103,12.9390512221]"
2,"Vijaya College,BASAVANAGUDI,OPPOSITE OF INFORMATICS",12.9390512221,77.5799340103,"[77.5799635984,12.944399463]"
2,"RV Teachers College,BASAVANAGUDI,BESIDE MEGA AGENSIS",12.944399463,77.5799635984,"[77.5798964898135,12.9495261854038]"
2,"Lalbagh West Gate,V.V.PURAM,BESIDE HDFC BANK",12.9495261854,77.5798964898,"[77.5798819155073,12.9536740969716]"
2,"Minarva Circle,V.V.PURAM",12.953674097,77.5798819155,"[77.5850038882,12.96354088]"
2,"Town Hall,OPPOSITE OF RANI CHANNAMMA STATUE",12.96354088,77.5850038882,"[77.5864692125,12.9685279448]"
2,"Corporation,CORPORATION,IN FRONT OF BANAPPA PARK",12.9685279448,77.5864692125,"[77.5824879762,12.972107688]"
2,"Cauvery Bhavana,K.R. MARKET,OPPOSITE OF BWSSB",12.972107688,77.5824879762,"[77.572342,12.978062]"
2,Kempegowda Bus Station,12.978062,77.572342,"[77.5741377566,12.9114097171]"
2A,"JP Nagara 1st Phase,SHAKAMBARI NAGARA,BESIDE APOLLO PHARMACY",12.9114097171,77.5741377566,"[77.5789394137,12.9108850099]"
2A,"Indira Gandhi Circle,SHAKAMBARI NAGARA,BESIDE S.B.M.LAYOUT",12.9108850099,77.5789394137,"[77.5856779609,12.9111515544]"
2A,"RVDental College,JP NAGARA 1ST PHASE,BESIDE R.V.COLLEGE",12.9111515544,77.5856779609,"[77.5856925454,12.9153368901]"
2A,"Marenahalli,JP NAGARA 1ST PHASE,BESIDE 3M CAR CARE",12.9153368901,77.5856925454,"[77.5835442636,12.9174407478]"
